,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Urbis sala 2023,"2.850,96","2.539,83","2.707,01","2.230,55","2.294,56","2.278,08","3.516,81","3.992,75","3.898,12","3.874,46","2.854,13","3.239,44"
Urbis Oficina 2023,"213,39","184,57","172,21","186,3","193,92","121,26","602,35","295,82","367,9","282,24","269,89","253,99"
Urbis Vestuario 2023,"76,43","74,65","74,65","64,53","64,53","83,53","101,85","104,37","98,36","114,79","92,14","107,94"
MAPFRE 5ª 2023,"3.015,71","2.755,86","3.468,91","3.084,34","3.213,03","3.285,06","5.425,18","6.597,20","6.345,65","6.395,02","4.334,33","4.554,08"
MAPFRE 4ª 2023,"124,91","124,91","153,29","153,29","190,79","190,79","350,32","350,32","339,43","398,91","260,17","159,45"
MAPFRE 1ª 2023,,,,,,,,,,,,
Urbis sala 2024,"3.443,81","2.475,43","2.247,83","1.899,20","2.272,48","2.597,65","3.173,42","3.703,88","3.179,66","3.507,05","5.522,97","4.370,70"
Urbis Oficina 2024,"267,38","146,11","216,86","238,11","184,34","245,75","288,87","243,2","238,54","360,41","244,41","336,99"
Urbis Vestuario 2024,"114,88","80,4","79,06","84,04","81,84","102,51","122,84","116,9","121,33","107,94","122,18","123,79"
Total LPA 2024,"3.826,07","2.701,94","2.543,75","2.221,35","2.538,66","2.945,91","3.585,13","4.063,98","3.539,53","3.975,40","5.889,56","4.831,48"
MAPFRE 5ª 2024,"4.815,51","3.452,65","3.026,12","2.714,93","3.345,37","4.226,94","6.015,81","6.869,15","5.783,96","5.999,82","6.823,66","6.936,28"
MAPFRE 4ª 2024,"247,77","183,81","145,86","202,78","203,74","231,67","386,82","357,54","312,51","232,03","353,47","198,63"
MAPFRE 1ª 2024,,,,,,,"63,41","63,41","84,68","84,68",176,176
